Parent,Child,origin_time
51,48,2
82,75,3
39,37,4
39,38,4
44,6,4
32,74,4
69,13,4
69,71,5
69,72,5
56,0,5
39,55,5
39,91,5
56,95,5
56,58,6
69,27,6
69,76,6
39,79,6
56,57,7
92,94,7
36,2,7
39,59,7
56,62,8
69,70,8
95,47,8
92,63,8
58,61,10
44,49,10
39,26,10
2,3,11
56,60,11
75,77,11
91,90,11
13,30,11
62,68,11
39,16,11
71,41,11
62,85,11
48,50,12
17,23,12
47,89,12
85,86,13
0,29,13
92,1,13
76,12,13
39,25,13
62,8,13
13,14,14
85,87,14
85,88,14
85,98,14
41,42,15
0,64,15
92,38,15
68,5,16
61,73,16
41,20,16
29,31,17
68,67,17
41,46,17
29,28,18
29,35,18
29,45,18
29,53,20
69,9,20
14,43,20
69,70,21
29,37,21
69,24,22
98,34,23
5,4,24
23,22,24
71,56,24
64,63,25
1,40,25
73,74,26
23,59,26
69,72,27
69,96,28
20,21,30
56,14,30
20,18,30
18,93,33
18,84,34
18,19,35
96,99,35
96,95,36
96,31,36
99,98,42
99,80,42
19,18,43
71,72,47
98,66,49
71,58,52
18,36,55
58,61,60
