Parent,Child,Origin_time
949015,949014,2
980221,175397,3
372778,768727,4
980221,130398,4
846412,344861,4
504499,504498,5
846412,846413,5
980221,74949,5
601054,588497,5
554899,769388,5
601054,914309,5
504499,75688,5
538663,355412,5
538663,538662,6
504499,478493,6
504499,746504,6
771284,874009,6
980221,454459,6
344861,344858,7
846412,615046,7
980221,669105,7
74949,74948,8
538663,538660,8
980221,226009,8
990430,355259,8
344861,730821,8
846412,58119,8
344861,224009,8
344861,344860,9
504498,504500,9
849425,849426,9
849425,835988,9
588497,650705,9
601054,884553,9
344861,965707,9
504498,174590,9
276826,477902,9
980221,522324,9
355412,355409,10
538662,538664,10
980221,45748,10
504498,221682,10
504498,341850,10
175397,377590,10
504499,584478,10
504498,814502,10
355412,858886,10
759327,421218,10
538663,538659,11
504498,104129,11
504499,191679,11
554899,457409,11
504498,614102,11
615046,701384,11
504498,94755,11
504498,344618,11
504498,856863,11
504499,966633,11
344861,344859,12
355412,355411,12
615046,615045,12
615046,615047,12
669105,669103,12
615046,349048,12
615046,433295,12
615046,468043,12
504498,847755,12
730821,167755,12
504500,210559,12
730821,377977,12
615046,549911,12
58119,58118,13
538664,538661,13
226009,166971,13
355412,350137,13
601054,492588,13
226009,862151,13
58119,931288,13
504499,57719,13
538664,712395,13
538664,800951,13
174590,174591,14
478493,478495,14
730821,46534,14
965707,193732,14
884553,306391,14
615046,899215,14
504500,939990,14
965707,4310,14
965707,661699,14
355409,775103,14
615046,781479,14
759327,912908,14
615046,944389,14
174590,174593,15
355412,355410,15
522324,522322,15
522324,522323,15
588497,588498,15
669103,669106,15
669103,669107,15
759327,759326,15
226009,86820,15
522324,205082,15
884553,533195,15
814502,657206,15
504498,834985,15
669103,37023,15
669105,59195,15
538664,239343,15
669103,380603,15
538664,740547,15
174590,821647,15
669103,906425,15
226009,226007,16
538664,538662,16
669103,669104,16
730821,730822,16
344860,40336,16
522324,215050,16
468043,372560,16
712395,528444,16
538659,650524,16
492588,694605,16
221682,937235,16
614102,384813,16
221682,221684,17
341850,341852,17
775103,775102,17
759326,107684,17
759326,959478,17
57719,203613,17
966633,215121,17
669103,310409,17
584478,393620,17
57719,457891,17
615045,731803,17
849426,867533,17
965707,896585,17
615045,191689,17
584478,804923,17
166971,166972,18
341850,341851,18
504500,504499,18
614102,614100,18
712395,712394,18
730821,730820,18
835988,59196,18
835988,280939,18
759326,364404,18
759326,625664,18
835988,999342,18
657206,78913,18
669103,382740,18
615045,403278,18
800951,501018,18
846413,640131,18
350137,646777,18
57719,787949,18
615045,793562,18
966633,797078,18
57719,941535,18
341850,986719,18
669105,126189,18
57719,135493,18
759326,174420,18
538661,183633,18
912908,259253,18
538661,599933,18
584478,605069,18
615045,837239,18
538661,837253,18
344618,344619,19
457409,457410,19
821647,821646,19
835988,367432,19
759326,640403,19
669107,183902,19
57719,187990,19
355259,268502,19
226009,278897,19
657206,367686,19
57719,388966,19
615045,734434,19
57719,886839,19
821647,893389,19
478495,898298,19
221682,917069,19
478495,952269,19
965707,998530,19
584478,66295,19
344618,262659,19
657206,723606,19
355410,813688,19
191679,191680,20
349048,349049,20
393620,393619,20
393620,393621,20
906425,906424,20
821647,168581,20
966633,214305,20
46534,276241,20
350137,278750,20
478495,338313,20
226009,347104,20
615045,379401,20
191679,383988,20
393620,459098,20
166971,467767,20
821647,490561,20
522324,635598,20
965707,688239,20
40336,756351,20
46534,837445,20
939990,883770,20
393620,907441,20
393620,929900,20
344860,930744,20
669104,948475,20
657206,43584,20
584478,44132,20
193732,128365,20
393620,129572,20
775103,164119,20
740547,445002,20
966633,451915,20
393620,452432,20
657206,525573,20
821647,601065,20
999342,701733,20
669103,907057,20
468043,920490,20
107684,107681,21
191679,191681,21
193732,193731,21
226007,226008,21
384813,384815,21
615045,615046,21
740547,740549,21
835988,323205,21
588498,338267,21
835988,393318,21
393620,991,21
584478,55769,21
205082,60199,21
40336,69323,21
350137,131643,21
615045,151733,21
355411,332267,21
821647,334235,21
226007,351073,21
504499,377213,21
478495,812497,21
393620,998024,21
584478,37418,21
999342,83489,21
40336,101980,21
959478,322985,21
740547,334308,21
355410,357372,21
59196,474915,21
226009,558717,21
966633,661829,21
393620,679079,21
46534,750877,21
355411,837076,21
835988,924501,21
174420,174419,22
215121,215123,22
341850,341853,22
478495,478494,22
731803,731801,22
834985,834984,22
837239,81769,22
215121,100553,22
355410,120425,22
821647,210460,22
344619,262207,22
731803,273263,22
669103,313369,22
344619,379859,22
