Parent,Child,Origin_time
242,241,3
266,262,4
266,267,4
189,61,4
266,135,4
122,95,4
189,230,4
11,12,5
58,56,5
58,57,5
58,59,5
58,60,5
266,264,5
58,5,5
11,42,5
220,67,5
266,251,5
242,272,5
29,28,6
29,31,6
29,32,6
11,15,6
29,33,6
29,188,6
11,91,6
11,249,6
29,281,6
176,297,6
123,120,7
78,75,7
266,194,7
95,81,7
29,257,7
29,265,7
213,209,8
266,10,8
58,104,8
176,114,8
242,177,8
11,191,8
213,112,8
58,195,8
58,218,8
58,229,8
78,244,8
29,278,8
33,35,9
56,62,9
123,119,9
61,276,9
220,8,9
29,34,9
58,214,9
267,261,9
29,168,9
123,183,9
106,180,10
249,187,10
56,292,10
58,54,10
264,182,10
58,215,10
67,63,11
230,235,11
281,284,11
29,68,11
177,105,11
10,274,11
42,25,11
15,103,11
194,184,11
10,198,11
104,101,12
213,210,12
213,212,12
61,211,12
104,45,12
272,50,12
29,51,12
272,94,12
114,97,12
56,154,12
177,192,12
264,174,12
42,41,13
75,77,13
120,118,13
56,138,13
29,155,13
68,66,14
104,102,14
104,106,14
104,3,14
62,24,14
54,46,14
11,134,14
104,295,14
62,60,15
147,144,15
235,233,15
235,234,15
58,40,15
104,99,15
54,237,15
29,277,15
29,116,15
68,216,15
184,232,15
104,252,15
68,65,16
278,280,16
281,14,16
213,207,16
57,279,16
235,39,16
104,48,16
235,100,16
29,161,16
58,256,16
264,89,16
35,193,16
42,43,17
68,64,17
144,146,17
198,204,17
213,283,17
144,228,17
94,291,17
68,27,17
215,219,18
212,169,18
104,2,18
177,129,18
218,164,18
46,221,18
194,47,18
215,253,18
138,140,19
184,185,19
233,230,19
215,247,19
104,21,19
235,86,19
182,113,19
235,156,19
280,268,19
280,282,19
277,289,19
134,38,19
215,248,19
155,158,20
261,16,20
101,80,20
280,136,20
210,142,20
233,181,20
233,157,20
144,227,20
235,287,20
237,236,21
237,238,21
102,150,21
212,199,21
102,240,21
104,132,21
134,133,21
261,197,21
277,258,21
102,36,21
64,55,21
105,222,21
39,37,22
144,145,22
289,290,22
102,53,22
102,186,22
2,19,22
24,173,22
289,190,22
39,208,22
102,124,22
291,294,23
229,75,23
233,26,23
134,52,23
64,139,23
227,223,24
253,255,24
282,286,24
291,293,24
287,115,24
280,63,24
157,82,24
132,131,25
145,147,25
248,246,25
289,0,25
145,119,25
100,202,25
19,18,26
169,143,26
104,76,26
145,170,26
104,285,26
116,270,26
58,280,26
100,99,27
102,70,27
140,224,27
291,297,27
291,1,27
104,206,27
104,209,27
48,49,28
156,157,29
53,84,29
280,109,29
280,136,29
19,171,29
181,242,29
156,159,30
133,114,30
14,166,30
156,160,31
170,172,31
270,268,31
202,201,32
145,233,32
133,130,32
224,225,33
290,20,33
76,79,34
156,158,34
133,142,34
104,204,34
224,221,35
115,163,35
53,54,36
233,234,36
147,262,36
186,9,37
270,12,37
255,36,37
133,61,37
270,164,37
233,231,38
104,51,39
233,63,39
54,256,39
104,105,40
104,50,40
115,117,41
234,235,43
9,92,43
130,206,43
9,7,44
50,196,45
104,204,45
231,271,45
104,106,46
104,48,46
104,254,47
117,214,48
235,230,49
235,130,49
106,110,50
271,179,50
271,269,51
104,281,51
92,96,52
48,152,52
152,148,54
152,153,54
271,268,54
92,151,54
214,216,55
152,34,55
96,15,56
130,126,57
130,82,57
148,149,58
148,154,58
130,111,60
151,205,60
