Parent,Child,Origin_time
18,17,3
40,43,3
102,101,3
102,103,3
102,33,3
102,122,3
102,154,3
18,199,3
40,42,4
118,117,4
40,92,4
40,170,4
102,173,4
184,192,4
184,56,4
29,125,4
35,166,4
29,30,5
40,41,5
95,107,5
102,3,5
184,138,5
35,176,5
102,186,5
29,68,5
11,140,5
18,160,5
11,12,6
11,13,6
11,55,6
102,79,6
95,20,7
102,151,7
29,62,7
102,190,7
43,135,8
29,61,8
102,115,8
92,185,8
125,124,9
102,7,9
125,69,9
140,1,9
58,21,9
18,47,9
125,66,9
184,156,9
58,158,9
58,174,9
43,14,10
107,99,10
160,161,10
58,48,10
59,108,10
160,26,10
41,28,10
170,51,10
58,121,10
166,141,10
58,57,11
13,19,11
95,132,11
125,167,11
11,15,11
151,39,11
117,169,12
20,172,12
12,179,12
176,90,12
68,127,12
62,128,12
184,187,12
66,197,12
20,97,12
41,143,12
176,191,12
62,63,13
56,71,13
117,78,13
117,119,14
132,131,14
132,134,14
56,67,14
115,70,14
47,178,14
68,18,14
99,86,14
132,123,14
39,38,15
132,133,15
151,150,15
117,112,15
39,147,15
156,37,15
68,80,15
125,126,16
156,155,16
166,162,16
47,165,16
39,10,16
58,64,16
39,181,16
39,32,17
108,102,17
108,145,17
151,195,17
69,72,17
90,106,17
156,171,17
41,42,18
128,129,18
141,144,18
166,164,18
132,130,18
69,31,18
128,120,18
68,8,18
13,22,18
18,142,18
90,89,19
166,163,19
67,189,19
66,55,19
48,49,20
131,87,20
64,65,21
145,149,21
145,94,21
145,153,21
66,194,21
64,60,21
156,74,21
145,81,21
69,98,21
10,122,21
10,9,22
145,146,22
156,192,22
86,77,23
72,84,23
87,168,23
156,25,23
47,175,23
48,53,24
145,148,25
123,76,25
98,99,26
102,6,26
98,100,27
166,5,27
53,52,28
189,180,28
144,114,28
77,188,28
140,44,29
9,96,29
123,157,29
102,173,29
76,75,30
148,80,31
102,101,32
102,151,32
96,137,32
99,182,32
8,10,33
189,191,33
96,3,34
148,192,34
5,190,35
96,97,36
76,77,38
96,125,40
151,30,42
182,183,45
